audio_url,description,model_id
https://github.com/MosSpace/iclr2024/raw/main/music_v2/groundtruth/cmJj7SxQEp8.wav,This reggae song features a male voice singing the main melody. This is accompanied by percussion playing a reggae beat. The bass plays a single note on the fourth count of each bar. There are no other instruments in this song. This song can be played in a club as a dance song.,groundtruth
https://github.com/MosSpace/iclr2024/raw/main/music_v2/2023_07_16_full_8_ft_ddpm/KxjiEi2Eywk.wav,"The song is an instrumental. The tempo is slow with a lion playing an emotional solo, string section harmony, strong drumming rhythm and a steady bass line. The song is emotional and inspiring. The audio quality is poor.",2023_07_16_full_8_ft_ddpm
https://github.com/MosSpace/iclr2024/raw/main/music_v2/groundtruth/GOTy3yhCylw.wav,This is a bass guitar jam in the style of funk. It is an instrumental performance. The bass guitar is playing a complex solo using the slap technique. There is a backing track composed of a programmed acoustic sounding drum beat. There is a groovy atmosphere to it. This piece could be used in the opening theme of a tutorial/unboxing YouTube channel.,groundtruth
https://github.com/MosSpace/iclr2024/raw/main/music_v2/2023_07_24_full_8_ft_ddpm_crossattn_t5_music/-Q9MTRXS4bE.wav,"This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited.",2023_07_24_full_8_ft_ddpm_crossattn_t5_music
https://github.com/MosSpace/iclr2024/raw/main/music_v2/2023_07_24_full_8_ft_ddpm_crossattn_t5_music/cmJj7SxQEp8.wav,This reggae song features a male voice singing the main melody. This is accompanied by percussion playing a reggae beat. The bass plays a single note on the fourth count of each bar. There are no other instruments in this song. This song can be played in a club as a dance song.,2023_07_24_full_8_ft_ddpm_crossattn_t5_music
https://github.com/MosSpace/iclr2024/raw/main/music_v2/groundtruth/uZHE9b1WDuM.wav,"The song is an instrumental. The tempo is fast , with a philharmonic orchestra consisting of string section, rhythm section and horns accompanying a virtuoso wooden xylophone playing this western classical hit. The song is energetic and exciting.",groundtruth
https://github.com/MosSpace/iclr2024/raw/main/music_v2/2023_07_16_full_8_ft_ddpm/NgniX3tg_Mo.wav,"The low quality recording features a live performance of a traditional song and it consists of a flat male vocal singing over sustained strings melody and mellow, subtle percussive element. There are some people talking in the background, followed by a cough. It sounds passionate and emotional, even though the recording is noisy and in mono.",2023_07_16_full_8_ft_ddpm
https://github.com/MosSpace/iclr2024/raw/main/music_v2/2023_07_16_full_8_ft_ddpm/Ex0ukzO5z9M.wav,"The low quality recording features a reggae song that consists of passionate male vocal singing over groovy bass, simple hi hats and punchy snare. There are some loud stuttering low frequency audio crackly noises in the recording, which makes it a bit uncomfortable to listen. It sounds groovy and chill regardless.",2023_07_16_full_8_ft_ddpm
https://github.com/MosSpace/iclr2024/raw/main/music_v2/2023_07_16_full_8_ft_ddpm/tDVOUsG52Jw.wav,"This music is a simple and pleasing instrumental. The tempo is medium fast with a cheerful accordion harmony. The music is minimalist,simple, cheerful, happy, fun, carefree, jolly and lighthearted.",2023_07_16_full_8_ft_ddpm
https://github.com/MosSpace/iclr2024/raw/main/music_v2/groundtruth/H18aK9HhNSM.wav,"The low quality recording features a live performance of a country song played by ukulele orchestra, smooth double bass and sung by fruity male vocals. It is uptempo and it sounds energetic, even without drums, and passionate.",groundtruth
